"දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :14th October 2024 at 0900hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l
Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhaki
le;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs;
Remarks"
"උතුරු පලොත
tl khfhzk;
Northen",4,"කිලින ොච්චිය
fpspnehr;rp
Killinochchi",Poonakary,Lightning,2024.10.10,1,5,,,,,1,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,1,5,0,0,0,0,1,0,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,1,5,0,0,0,0,1,0,0,0,0,0,
,5,"කෑගල්ල
Nffhiy
Kegalle",Dehiovita,Cutting Failur/Flood,2024.10.11,85,288,,,,,85,14,,,,,
,,,Bulathkohupitiya,Cutting Failur,2024.10.10,4,19,,,,,4,,,1,1,7,
,,,Yatiyanthota,High Wind,2024.10.09-11,3,7,,2,,,3,,,,,,
,,,Warakapola,High Wind,2024.10.11,3,9,,,,,3,1,,,,,
,,,Kegalla,Tree Fallen,,1,2,,,,,1,,,,,,
,,,Ruwanwella,Flood,,2,13,,,,,2,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,98,338,0,2,0,0,98,15,0,1,1,7,
