"Page 1 Situati
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,31,133,3,3,0,3,27,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,73,285,3,3,0,30,31,0,0,1,35,125,
,,,Welimada,Fire,2020.08.17,12,54,,,,12,,,,1,12,54,Alakolagala Day Care Centre
,,,Welimada,High Wind,2020.09.19,8,30,,,,,8,,,,,,
,,බදුල්ල,Uwaparanagame,Tree Fallen,2020.09.19,2,8,,,,,2,,,,,,
,3,gJs;is,,High Wind,2020.09.19,2,9,,,,,2,,,,,,
,,Badulla,Badulle,High Wind,2020.09.20,1,4,,,,,1,,,,,,
,,,Passara,High Wind,2020.09.19,1,4,,,,,1,,,,,,
,,,Redimaliyadda,Tree Fallen,2020.09.18,1,5,,,,,1,,,,,,
,,,,High Wind,2020.09.20,1,4,,,,,1,,,,,,
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,28,118,0,0,0,12,16,0,0,1,12,54,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,28,118,0,0,0,12,16,0,0,1,12,54,
,,,Ayagame,High wind,2020.09.18,2,7,,,,,2,,,,,,
,,,Kalawana,High wind,2020.09.18,2,5,,,,,2,,,,,,
,,,,High wind,2020.09.20,2,8,,,,,,,,,,,
,,,,Cutting failure,2020.09.18,2,7,,1,,1,1,,,,,,
,,,Kahawatta,Rock Fallen,2020.09.20,1,5,,,,,1,,,,,,
,,,,High Wind,2020.09.20,1,5,,,,,1,,,,,,
,4,රත්නපුර,Kolonna,Cutting failure,2020.09.18,2,11,,,,,2,,,,,,
,,",uj;jpdGhp
Rathnapura",Godakawela,Tree Fallen,2020.09.18,1,6,,,,,1,,,,,,
,,,,Landslide Risk,2020.09.19,10,48,,,,,,,,,,,
,,,Weligapola,High wind,2020.09.19,1,5,,,,1,,,,,,,
,,,,Landslide Risk,2020.09.19,4,18,,,,,,,,,,,
,,,Pelmadulle,High Wind,2020.09.20,2,7,,,,,2,,,,,,
,,,Balangoda,High Wind,2020.09.21,27,79,,,,,27,,,,,,
,,,Nivithigala,High Wind,2020.09.21,8,25,,,,,7,,,,,,
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,65,236,0,1,0,2,46,0,0,0,0,0,
